Hand, EV, Equity, Equity Realization, Matchups
KQs,279.769641,54.853412,113.340318,353079372
A9s,252.199074,56.8743849,98.5403864,173439008
KJs,250.861057,52.7237556,105.733935,353913432
ATo,241.781142,58.143457,92.4078916,519779775
QJs,236.79158,49.2168766,106.915259,359256372
KTs,231.691273,51.8831834,99.2362961,353770900
KQo,228.065409,52.2259515,97.0421801,1.06114146E+09
JTs,227.510314,46.9793506,107.61717,356322071
A8s,223.645913,54.1538805,91.7738329,174009748
QTs,218.887449,46.6702593,104.224095,359925291
A5s,207.281109,51.0761533,90.1839034,356767843
KJo,201.814258,50.1826937,89.368684,1.06631392E+09
A4s,199.187995,49.8965792,88.7114899,359387360
A3s,197.362092,49.6773851,88.2861338,362697866
A7s,196.399506,52.7674889,82.710653,349467671
A9o,196.296383,54.475553,80.0752192,518470559
K9s,196.156427,49.1172979,88.7473841,352357134
QJo,194.624251,46.6444801,92.7222973,1.08173374E+09
T9s,193.015145,42.9475039,99.8713556,353243915
J9s,189.978858,44.3007489,95.2975402,177050798
Q9s,189.583058,45.3599912,92.8782551,356502278
A6s,188.28455,51.5068264,81.2339139,352854933
A2s,186.640419,48.6261487,85.2949489,359615765
JTo,181.969251,43.9142985,92.0830179,1.07950962E+09
KTo,177.944831,49.0997953,80.5365797,1.06219396E+09
98s,175.778943,40.4568555,96.5522081,361373282
T8s,173.200162,40.7822529,94.3766521,362372891
J8s,172.278085,41.6323901,91.9572928,183053740
QTo,171.396774,43.6378323,87.2824564,1.08455392E+09
87s,166.045967,38.8672351,94.9362713,366511233
53s,164.902144,36.5732868,100.195865,387060290
K8s,164.375225,45.7990121,79.756803,355566788
A8o,163.161348,51.4863681,70.4226742,1.04714285E+09
K6s,162.792895,44.2515114,81.7513296,182076064
65s,162.587598,36.9172643,97.8690541,380449170
K7s,162.510144,45.169978,79.949929,180358386
K5s,161.885906,43.353369,82.9800465,365856239
Q8s,161.224298,43.5138915,82.3360551,180762237
76s,160.813116,37.998883,94.0455222,374674427
54s,158.434917,37.5302205,93.8117572,381576354
